id_pagamento_cliente,codigo_barras,linha_digitavel,data_vencimento,url_boleto,ativo
1,2119692217991783452143466268324,96301.58995 81664.630241 13311.059681 2 78295791205318,2025-05-03 05:32:51,K0LohRuNZxpDVhtZ60ZBQay1kAUCMjnvX9JznRrXUL5DZW3Ulx/pdA6cECYwNg==,1
2,1954744644734797511664741255942,35070.06612 05739.102520 76800.265492 9 14719932526069,2025-05-02 12:17:27,kC4xDOQaNZn/13ift5k7ZLWNvdgMAn+Ik9FNJ4JPgJDFe3NYsSKsd0D2zjjz806wxNCQ,0
3,9952896108832059507885784735989,38584.13772 67284.742445 17152.751630 3 13980114658197,2025-05-03 18:09:46,1jH+NIUb4tIvuyho2CJ5nBEFdfeqRvZ89zLCGQhwaG7k64Jy5N0Rk6lJxgPnmc6W,0
4,6787814385478620286810850555722,07933.05130 95540.270816 99165.017075 4 09204225042323,2025-05-03 01:04:55,4d7oH5+ZMWSSOny7kzjVLeIzDLYln0cFjrMVqSh09s+xjlI+5/rRVeVJEY1LvhW5PtZi,0
5,9547858134978180092635225380294,73957.05244 99830.250277 59912.709483 3 50296900706524,2025-05-02 02:56:17,S0yQn89mtbb0fYTCpJ7myBAx6AGbgva2nMWKPe/7CqWZC89CwvLcl0zrmYhg9Gnwvg==,0
6,5583682135412993999763006480694,28950.51729 88658.926193 33240.022297 2 98666632991380,2025-05-03 13:08:56,3MCfk8ZGk3FBBmLGpV4lWd/AvRdanewejEOwdvBQ3rRkrgV8MguwRqk6kzXZojcMbhbB,0
7,8563956087694880765110903790814,33554.20804 47942.423270 98173.513848 1 39495040836271,2025-05-02 01:55:01,Tgsb4UwV6KV/BtlSPkQ7WS20Tr872wxYtu05oPdGpGtzUBZnfDGpagEy6fl3LEyjopBby+VB/g==,0
8,0037710628688065274633944693698,91661.46996 88857.865327 36646.844085 2 80779791421709,2025-05-02 03:30:34,zsrIb3rV0nAYsikPF9oZFjFW1MQOlg5VUA/13YF6KBK+KQh7vqrs9Lwbq1eH2PvI4Um3EhW2,0
9,1512118488365387120282537676975,34974.19557 83923.619227 62509.235665 6 77576718340312,2025-05-03 19:14:32,vS6Ejhe+ILP15ICGpZyAO5bLlDq5GfmW8IxjZvi0dBaW8rhKd6Y/cqL9i7uzrbt2Nrwysg==,1
10,8996186382479112760915602591863,38662.03383 08544.883752 37270.180457 8 04894520409516,2025-05-02 17:02:09,zCvBzn0jb9Tf5jrv2ErJ8T1wtfwAIi8lXN0xjz0ONz8aydEMPAliP8pQ1D+2wDE=,1
11,0732655693798235373692717784835,71760.42717 35226.437146 29595.147018 6 58424843627117,2025-05-02 14:52:24,fdX3vkYeADLBuXf3215yb92wrM1Y8+wvUhU9gQoCpe5ppRv0pCyaEUXMrrsOwQ==,0
12,2659064588009776546711061090683,32440.55525 11918.555239 00247.162266 9 32134414505380,2025-05-01 23:18:40,maMeSqZA+LvyzyTTrt72L8wBq330tISyQB50WUCqfLywDUY1mG8d7vQakDaT88FrnMk=,0
13,2412212081643125982298508598434,44078.56420 31556.139471 91180.715635 9 66085647404856,2025-05-02 22:18:49,nhUYAUWiRA4L529Y7uijOWV8nfSHUvvInUoZ9qWAAK0lGtxdVzc50roP2Ab4mAihw6ctWDI=,0
14,5219928883388246871731730378869,75957.96362 06054.976533 20596.060682 7 90293687390984,2025-05-03 09:00:42,QerTLYNukZquEdbjqB55qsMp57FQKWhGECzArdsUJd/jB177lhVvTpK7g2l7/ncdtjbeSYL1eGA=,0
15,9882694398474736136269993874401,81257.43127 30913.451185 11207.618056 4 35590255561414,2025-05-02 17:29:25,S6fUsZhTp0+ipvn9LW6YgSsRUnCwkcSOZVg1kM72t1G/rPAOR9a4V0oVi3RuM+PJKEo=,1
16,1140257907828160655590574609666,17979.50383 82992.373851 12797.467049 4 73390565371067,2025-05-03 19:31:48,a4JRGctgsrebXshtNJKShlMoT8bYquUYRapVYOavvMixYftNtReEPM+gCMcAgzmb+Q==,0
17,2653400716693694708401725726930,96866.81423 75353.614507 64121.981883 6 78577596938398,2025-05-02 04:16:40,n2Ncx2A0YmHbjxItBp5BgMiobe07cizVB1yrqVo9TomJepbJxLj4QQIjsXsc616/vA==,0
18,7756947211521710833894496036099,24674.09350 49681.154654 09655.515381 3 14941825971893,2025-05-02 17:52:15,Tgrez29XvgUWgtx5DhQaYsk1hObxL696DvUi9PwtS9rsZW1itFvKj7xzk5eh,1
19,9480390442094224258196557149109,33810.97371 05055.958463 73914.912122 0 30566858806976,2025-05-02 17:20:30,YC7oywFwUoe7KZJhE1cAZWDOw7froiSWHM/jtXi5jHoApRtfQXTs00Ra4KFIQO0I,1
20,9225096909382031125540394597730,15225.42183 36409.362513 67173.465564 9 68932699405615,2025-05-02 15:56:59,U1OCXuCF6u+rBWHa+np/+WwV8EjSGrQxSaodhhj4u5TEwdncrhkI94FUmfQ59M+wlU7YL6QT,1
21,0110280618649959054281447616777,87837.09186 92823.144371 88908.066639 9 32833301706435,2025-05-03 13:34:33,ZIdLLlhfD8aXF/PM3ICJ5q3cBdY7wIzSB6kd5E0NEOoUqYNnA7hU3bxC58KF0VPO7EDW,1
22,4580514766663644225524408378366,98832.67555 28608.345785 07580.219118 8 32887937057033,2025-05-02 07:30:57,mgIzwfEGZp61BawYudVMwP4B3Xaaka2cQwa100A2IdR39lpl5PiCAl3T1LzOFlGo4iDK4iuozg==,1
23,2966215608321041855007655500362,17566.87406 44820.730292 35872.653613 2 32497537481863,2025-05-02 21:51:45,s3IewF6FstfQze+00sOhOMeWHCkltT/NfzZmJpHc9UQ+8Fr8peQeBG+LUz+O8OPaZ8UFqw==,0
24,6349138343832213742674516657354,66977.53639 07742.449872 47928.398672 0 07839591129607,2025-05-02 12:32:00,Q4HdD5wguKvCDdBUZ5NLMBnCmQbk6+ZGmAwYkN4h3iEYZzQXfny5rPPpsyeAOivISn5nfzODdRc=,1
25,7437232157328301670392422051774,71119.89607 91144.387795 59073.976681 1 36781696438260,2025-05-03 18:51:02,EI5YG5xY1pLMXcSLq4ZCo9kiYWOu3zsz30+t44Ws8PEa5crs1utQvyS9LOPvsatTairRZw==,1
26,8061576906790893165648546769906,42439.46047 06676.896407 47299.046268 8 84540459585697,2025-05-01 23:07:33,b/AxzrBVGLs8UFMNJeUeYOPUi3SoObCkT00W9La0yzqv/wNcWRV8D8DhIWNcKB4UkZh/Aw==,0
27,1693819235821293456819587310057,23237.34868 67272.712339 99228.037972 2 72860651783524,2025-05-03 17:50:49,u3E5DYg2Q1D8f51xBYnlXFPx5EytH+DWcO7muudX14UsEEU7GH3P4SLS0lAnf554HdWdRuw=,1
28,4957771516742710980641264412980,07305.06774 81831.404580 85366.987441 4 95512170429955,2025-05-02 14:38:56,K67U2vF+aERiUk9rdhkkCY6JDsPA7N4ahub9MU+HTYIjDuGSNkSfozaXshCA2O9g0X0Vpg==,1
29,6735632668486850723214909484245,07092.53104 24816.551423 12899.148128 3 40995240494796,2025-05-02 18:31:59,uB/Sm49HeRb+YxzAL2elzJJC9Ru294C3wA9ZY9CCckUH/mpsXomREgs1PIFrjmhzb+r8,1
30,6513823999271495953439561256138,36941.12680 64847.613481 16075.093543 9 22621603142923,2025-05-03 17:02:18,41IL2Z9euVgMSX01R8uCHhn/ntrv/ZrVU1Vl/kys45BBPxhkcXwkTP8keVotHrMAgYMOxcO/gLD6GA==,0
31,7437500867001961338826463473398,44700.17021 01876.103083 33720.999097 2 00735566551142,2025-05-02 04:46:08,bLsaWXtK+EqD4sgoPR/py7/MaYheWHxTgMVv4w7T6UCiPs1YrqyUGF3FZbb9LVojjHryonE=,1
32,0546349710092725091206626638106,36382.54184 87920.984998 34627.281068 7 97630550063682,2025-05-02 06:50:51,/CHekDfT0vf/tqp9W0kVMeb+5Z2IxF5CiN6ego7XgItsBM3wRRqBCqx3j2Yf7D1R1N0GDdLJwA==,0
33,2368926054815899764955157802595,30213.40893 58633.164860 71629.505326 2 77929827469875,2025-05-03 06:19:24,hTa2AkHd//l8P6NPfSwNWaQyvI+3gOEBsd2M6Xj9iyuetu4vTkpxYEO0WsQ9PL5fdWeJ0hKtYL8=,0
34,8907988953104263345111544722793,65403.25839 20788.298606 10635.117413 5 68583315689187,2025-05-03 19:39:32,GS4MSgDZwybLq0m8ZnsnilIGcxk/vB7GIXrhdfDGBl0o4/7SJ122ac6ZOozCO36LZJxV,0
35,9248988708182739202525274532356,49772.08402 48446.493270 62551.636696 6 77071588114857,2025-05-02 23:17:30,Xz6/KM1zw3DVUHJY5XjNmPLWZ8hXCOo6pldO6gRphWFUSMnw5EF4RP8U+Uo8byXGFZ0btw==,1
36,0484090943945494352297237393311,25959.35002 35016.919292 84882.656139 1 39730762064215,2025-05-03 09:21:03,LI/Bc0gYqowTd0cmAxaIuFaiTn2BUcZtROgZ/WPO7J3NNS82AofWrXaAckOmvA==,0
