id,id_usuario,empresa,cpf_cnpj,foto_perfil,localizacao
1,1,Industria 909,43.582.097/0001-09,https://placekitten.com/975/868,"Recanto Farias, 44
Conjunto São Francisco De Assis
94293-030 Camargo / DF"
2,2,Desenvolve 666,860.379.415-48,https://dummyimage.com/860x488,"Travessa de Sá, 30
Vila Batik
21976488 da Cruz do Oeste / RJ"
3,4,Grupo 404,739.205.648-47,https://placekitten.com/911/146,"Vila Heloísa Melo
Campo Alegre
30573119 Souza / BA"
4,7,Companhia 202,27.963.051/0001-75,https://dummyimage.com/613x345,"Ladeira de Rocha, 86
Boa Vista
77005-485 Gonçalves / SE"
5,8,Empresa 101,216.495.783-00,https://dummyimage.com/624x14,"Campo de Sousa, 716
Antonio Ribeiro De Abreu 1ª Seção
44887-340 Aragão Alegre / SC"
6,9,Power 999,01.734.562/0001-21,https://placekitten.com/371/953,"Viela Carolina da Costa, 68
Pompéia
71839016 Farias / BA"
7,10,Negócios 505,137.869.024-96,https://picsum.photos/251/844,"Campo Lopes, 64
Apolonia
29380616 Albuquerque / MT"
8,13,Companhia 202,96.182.035/0001-68,https://dummyimage.com/629x77,"Lagoa Ana Carolina Sales
Palmeiras
82302-455 Costela / RN"
9,14,Holding 111,840.173.569-66,https://dummyimage.com/620x785,"Núcleo de Garcia, 65
Dom Bosco
37675963 da Rocha de Ramos / TO"
10,17,Serviços 303,094.871.325-97,https://placekitten.com/618/98,"Lagoa de Fonseca, 31
Pousada Santo Antonio
43277-807 Mendonça de Montenegro / AL"
11,18,Grupo 404,45.072.691/0001-77,https://picsum.photos/869/708,"Praça Paulo Pinto, 92
Serra Verde
43184095 Alves / AP"
12,20,Digital 222,04.621.758/0001-06,https://dummyimage.com/155x493,"Viaduto Natália Santos, 4
Ipiranga
52086627 Ramos do Sul / AP"
13,23,Tech 808,91.624.705/0001-35,https://picsum.photos/712/643,"Loteamento Milena Macedo, 520
Frei Leopoldo
69829-517 Peixoto do Sul / AM"
14,26,Holding 111,248.907.136-03,https://dummyimage.com/488x612,"Ladeira Rezende, 4
Garças
86831637 Pacheco / TO"
15,28,Digital 222,867.301.495-66,https://placekitten.com/641/172,"Loteamento de Vasconcelos, 79
Nossa Senhora Do Rosário
90084650 da Conceição Verde / DF"
16,29,Cria 000,02.734.591/0001-56,https://placekitten.com/953/844,"Residencial de Barbosa, 12
Ouro Minas
44523-240 Albuquerque / BA"
17,31,Companhia 202,189.045.726-49,https://picsum.photos/465/826,"Jardim Souza, 19
Vila Engenho Nogueira
01299474 Casa Grande da Serra / AL"
18,36,Companhia 202,34.608.751/0001-07,https://picsum.photos/245/329,"Sítio Sara Brito, 6
Delta
38422-622 Macedo de Jesus / SE"
19,37,Corporation 606,192.608.453-51,https://placekitten.com/346/6,"Vila Dias, 7
Planalto
36011-061 Siqueira / MA"
20,38,Cria 000,04.268.519/0001-06,https://picsum.photos/508/639,"Estação Pacheco
Liberdade
68732754 Melo / AL"
21,45,Start 777,504.829.617-67,https://picsum.photos/902/714,"Área da Conceição, 18
Morro Dos Macacos
80158891 Teixeira de Minas / CE"
22,46,Tech 808,546.813.792-55,https://picsum.photos/284/73,"Rodovia de Pimenta, 2
São João Batista
77273-150 Farias das Pedras / RN"
23,47,Start 777,315.762.948-46,https://dummyimage.com/87x261,"Lago Pereira, 81
Bernadete
14234-915 Dias Alegre / SP"
24,48,Cria 000,23.674.189/0001-01,https://placekitten.com/249/407,"Estação Viana, 27
Vila Do Pombal
20798-141 da Rocha do Campo / SC"
25,49,Holding 111,37.601.529/0001-70,https://placekitten.com/789/268,"Trevo Fernanda Mendonça
Jardim Felicidade
24116-438 da Mota da Prata / RJ"
26,50,Industria 909,831.469.520-33,https://placekitten.com/759/654,"Esplanada de Ramos, 2
Taquaril
75595840 Jesus / SC"
27,51,Corporation 606,72.348.056/0001-42,https://picsum.photos/586/934,"Pátio Heitor Brito, 790
Vila Dos Anjos
59514-930 Novaes de Siqueira / PR"
28,55,Holding 111,374.205.698-00,https://placekitten.com/463/561,"Ladeira de da Rosa, 2
Vila Dos Anjos
29189-510 Jesus do Galho / SP"
29,61,Corporation 606,687.453.109-39,https://dummyimage.com/656x694,"Estação de das Neves, 432
Senhor Dos Passos
23999-701 Cavalcanti da Mata / PI"
30,62,Agência 010,749.103.658-93,https://picsum.photos/359/90,"Fazenda de Nunes, 44
Jonas Veiga
58721539 Almeida / MS"
31,63,Consultoria 333,735.602.194-34,https://picsum.photos/964/14,"Morro Nunes, 5
Caiçara - Adelaide
11231145 Mendes / DF"
32,66,Serviços 303,936.157.824-37,https://picsum.photos/45/707,"Quadra Breno Macedo, 47
Olhos D'água
05021770 Almeida Verde / TO"
33,67,Freelas 555,48.273.609/0001-60,https://picsum.photos/118/331,"Passarela da Mata, 83
Goiania
58453-290 Barbosa / PR"
34,71,Desenvolve 666,078.495.123-32,https://placekitten.com/169/941,"Rodovia de Brito, 699
Ipe
05836641 Sá da Serra / MG"
35,75,Serviços 303,092.854.761-20,https://placekitten.com/12/935,"Esplanada Sales, 2
Pirineus
64742837 Cavalcanti / PE"
36,76,Serviços 303,71.604.953/0001-07,https://placekitten.com/17/461,"Largo Cavalcante, 59
Jardim Atlântico
51534-990 da Mata / SC"
37,77,Industria 909,57.143.690/0001-55,https://dummyimage.com/861x86,"Favela Matheus Farias, 5
Vila Coqueiral
27704903 Novais / RS"
38,79,Corporation 606,20.371.564/0001-48,https://picsum.photos/627/32,"Viaduto Bárbara Cirino, 6
Embaúbas
03022999 Rezende / RJ"
39,80,Start 777,258.640.713-07,https://picsum.photos/740/125,"Favela Caldeira, 95
Tupi A
59278-447 da Rosa dos Dourados / CE"
40,81,Holding 111,165.203.947-34,https://picsum.photos/653/44,"Feira Heloísa Cavalcante, 379
Baleia
27139-220 Pimenta de Ramos / GO"
41,82,Soluções 707,842.109.736-96,https://dummyimage.com/218x537,"Trevo Heloísa Ferreira, 15
Etelvina Carneiro
79316-532 Fonseca / BA"
42,83,Serviços 303,86.907.321/0001-90,https://placekitten.com/940/899,"Sítio Aylla Casa Grande, 1
Bandeirantes
98998-302 Mendes Alegre / AC"
43,84,Consultoria 333,103.572.496-07,https://dummyimage.com/93x498,"Conjunto Novais, 8
Ventosa
09219-776 das Neves / SE"
44,86,Corporation 606,156.493.807-75,https://placekitten.com/842/863,"Chácara de da Mata, 764
Dom Silverio
33017826 Correia / RN"
45,87,Soluções 707,179.406.583-01,https://dummyimage.com/589x752,"Praia de Cirino, 72
Coração Eucarístico
88564-397 Correia de Jesus / SC"
46,89,Holding 111,60.238.917/0001-50,https://dummyimage.com/968x533,"Colônia Pereira, 8
Copacabana
72433-296 Machado / PE"
47,90,Empresa 101,62.413.589/0001-07,https://placekitten.com/43/710,"Lagoa de Sampaio, 921
Colégio Batista
60182686 Albuquerque Grande / SE"
48,91,Industria 909,34.058.761/0001-16,https://placekitten.com/376/74,"Estrada Guilherme das Neves
São Geraldo
25334-461 Carvalho da Mata / RR"
49,92,Start 777,298.740.351-88,https://dummyimage.com/817x431,"Distrito de Aragão, 4
Xodo-Marize
16433679 Freitas Grande / AP"
50,93,Grupo 404,143.579.602-07,https://picsum.photos/503/407,"Alameda de Souza
Palmares
35820-796 Pinto de Silva / RJ"
51,94,Serviços 303,704.869.251-02,https://dummyimage.com/637x765,"Residencial Anthony Gabriel Almeida, 2
Vila Paris
51921-110 Albuquerque / DF"
52,96,Desenvolve 666,92.034.157/0001-56,https://picsum.photos/348/542,"Chácara Ribeiro
Alpes
38421-163 Araújo / TO"
53,97,Tech 808,792.540.816-20,https://placekitten.com/887/890,"Favela Cavalcante, 67
Nova Suíça
21945-403 Pinto de Aparecida / RR"
54,104,Industria 909,754.631.809-20,https://picsum.photos/676/861,"Rua Lucca Jesus, 372
São Francisco Das Chagas
20697-428 Garcia / TO"
55,105,Inovação 444,81.947.253/0001-79,https://dummyimage.com/951x107,"Feira de Pinto
São Luiz
41087-062 Guerra Grande / RO"
56,107,Connect 888,295.830.471-04,https://placekitten.com/514/115,"Loteamento Stephany Vieira, 69
Vila Barragem Santa Lúcia
32101-528 Silva da Prata / MS"
57,109,Serviços 303,512.479.683-91,https://picsum.photos/764/532,"Vereda Caroline Azevedo, 61
Itatiaia
57115795 Andrade / AP"
58,110,Cria 000,04.358.719/0001-50,https://placekitten.com/282/356,"Trecho Danilo da Rocha, 21
São Salvador
62501743 Andrade / AM"
