id_pagamento_cliente,nome_titular,instituicao,ultimos_digitos,validade_mes,validade_ano,cvv,token_gateway,ativo
1,qnGMNtl8E1SwXixvaVqH4X72G6QEx9XLSKAolZOONEUM2S90u05PeIvffFGOSlcTewSnlGZQ,Itaú Unibanco,wXRq993f0ppNE8P6uaGqIFwumFZKLoGNJLSO2/UT73qIaNzx,vRhgq8VkeCNVaQ3bKbYf6V8vBWXOkAKb0sMinH4dnMiTQw==,T7Sx9iiCElFG39x+Dis5qeX5oOu723nj69Omn3vyJQdqww==,282,dXxqu/o00hPQx0fy57OTn2sbL9nfn96m/xZQvnyjCPuQk8H9XNrF3WiPSNlcIDgNw/JCOgyPeIpMZVttRxk7GjBPDv4=,1
2,6+seYprxvb2dZRfTUMxuCrNGqd0d5VDKpPaaNo/DzfhoZfBLSz3USxMAZ36XZzM=,Itaú Unibanco,dP/OHCJ+KWdOjzGkRudWt4/PU7WQfxEb2WGD4RTziss9qJ2W,dL5HmV+w4cyIEpkiEzwR1Bdc7tfYIAo2xatGWkpYWQ51Qg==,hbc9tYvaLRqjUu73UlXzMdYCN0VbXNTYTCdGt11nc6LW0A==,327,aUcUHPkH75ns+jrDKyFzQ1MeZNmfV+7VJHe6gwuLLNcBjKqCxQQr++u0MebOCgxiZotCxcKzWWRqlpCVm0RF1pNgqNw=,0
3,s7kkljW8b8sZXqcBwrI9iUSLZ0FBN6hOLclQYrFhovstxIqwOnkntk4/SO2POVTU,Itaú Unibanco,8gvzcV3nXVJhHUzDr9K3TPUK2gbC9RsCpAyokMfptwVko6I9,i76dAhC2yq+ikPZATwrlUjZabJNu53sltLE7fV4v8r/3Sg==,78sTpIY2LJTyXnPFe1XRIvVeUpmZ17gVlibUDlV4kQHGjQ==,099,AuyE8fwSoWRPzr2Snq4/iSYaKXFkPMBR0Yhyb2acAoIxkR17v0dtWKd5hojF8X0Y6Jy14/GkGxuvt+lHJncJjzJBr+g=,0
4,i6YSPhs3QYR2To31XU5DiJCIAbRZmSIs8e4TmHbbnhFqkXcnj1D3cL+MLARWb1+QtHU=,Itaú Unibanco,C0TNNG/zbEJKZeyFo9K+13wIf52WyLMu0fkD1OcuczNpSZ8e,jcce2KnaLkLTu8jJTQSf34urt1pi+Y6h31+I6f+ifNbhuw==,w4FVWGWDY9OaWjpDh/P4KHgbiueEIL5zYi1Yve8ejoNJVA==,826,9tEOTrUZcn6x+/ax6C+80H4ljeymPbaxrPUHx8jFYUAqfNdkFHdWoIPMvGuuqx970XVeF8Jc8viGpLkBoiYenAIVczw=,0
5,u+Rks9VAvIAY24KIFdmTo5MhjHYJwrzp9Ai91EA0r0lerutpshPjK2YXFxCvSw==,Itaú Unibanco,ZjuASw1FOPV2zhw+5ZBUIgALp43Y22PfzCQ89AO599fynkWd,+GpmxRGG5+BTWIm0iPDyWFWShOVkI+df1/TWKp0824aNjw==,y675ScsqsTk4b7mcGSzeXDPoP+Cgv1aeoIMOuBry/Y90BA==,458,3c0e4yxxE7C5pRzblWezZQA6QgxPYgluVriBXP1WWnNuc0ZjaKWD5B0uNSpmgb84otloPovkQuC16KJ17wFQNNBE898=,1
6,hk0+rgwrrFoHZuZl3QSKimxx0lV7YwyakmYjMW72uQrRGHWuaGnzP/E0NX7q1Cmavw==,Itaú Unibanco,P8jP80DSu7b2VmxSCiq3Dlr9UW996GW1AL+1LxrN6IDeN3Gn,RSgwRF2UaFpQQHXIPWRoiNNwdw3I4aAeZys5pSSqCYf9RA==,wheUXasIRdhXHDg+J5OBZ/buO4zzhN8iJyOgSLK+nd0tqQ==,882,fgI3YoEBelkbjYOHctV9PZdAD1rcBlTWc6Y6TkNIEojSmbozteR5H+PiSuCuktYcBhslGPT5Vt9jc8WAAVMj+kZfKs0=,0
7,wpMSLJcVs0yQNkHPFV4d74AZFfee0qQMs9TUcD2ggwDWzHyAexe03Zln2o0=,Itaú Unibanco,So7+WOC1Ngm/tPJhwt13Zdcgk3goKnIkhFmRuUe4LxYaQY7N,Mr7MIHrEH6cSuSVKsPjgJxo1DlFrrU01jyHQyLQoQ1Ynkw==,EEg15jYPb1V/gCZvth9kxjnXiLuT28hnAGD2o5EaUIxAtA==,638,r8GPAUgaYJgyimP2/i+VnkMSxconNDUnyhV9TAEetW910cELGlj3+JTZrRjpKPmXVjaYdpGXt2Lu2EPm7mR+hv+Sc0A=,1
8,SvI2w8M0bCSzLKXWWOWA6rYvMwAd+6SmBSB7S9K9Zwcfdp/Qu31OnIuNCw==,Itaú Unibanco,QJay3tJfL0W1ew09u2tCPhUCK/yUSZFSHwwybkTjRT+U+spA,aa3dsNZyCZG8GgbDXIkFCOeQxGiXJ2qfF5uZZCvPYjEnNA==,a+t4H5qWO1uYihgBdSem58+n2tzYkIeYu28Xe9U5MTgr2Q==,251,dEHqZr/XTrfaeP2RiAgoZ3oSolbuV1CPkyARmFdLk/AzuD4iSCIHeYxY5BYzC31qFc/2bAA38FpVJshCb38ei/fSjv4=,1
9,9ny8q3nPyy2vnbmNyy+7fxPRYbxAjNfBpiQoZ5rfDWzRPXIUCxJ+SlqkCa4p,Itaú Unibanco,X1n16TSNXWeRkpblZwageDbWkBWxFnjOD16EW7MnE7w5K8+g,Laa80maxv4J614H5CLM/iofVuJBO2vsexcD1Evv2swTlBg==,UesCn1lHPiMbum/ferH65wLNGn7E/E77QXL+8sbMSyoq3g==,376,pEaW6dDNeGe8dEewcs7ZhN/T1PPqpApfpxhjQM30eghZjMw1Hg5mMHvn1WsNQlNSo27tm8nmkDXeJFwrF+4iMO17OEU=,1
10,oELSkPWO8pVnZCdaFyGjD5N76I1gjanV8mlr3JCUaWU/XOGwTha801aq,Itaú Unibanco,WM3DAwWMErOCqLUV1RF3gUwpBLwu0dQDiZSZmtwnaHct8kzN,9Yr1xrP8hfFCXxkB00drTEFpxpviS69hprwRna9eT3Xi6w==,EzjC8NiKZedPuvG07ub5PgXt68almYDi5xK3czpLrmNJFQ==,801,rWB32CGoUEkeEq9Sp54AWpw+WY2BOv5xl696sMago67Ns6pOys7ZEXJKhlAeF+TLpox2A4oRUW+pYOyXw6tog8rTAvU=,0
