id,id_usuario,id_cargo,cpf,matricula,data_admissao,foto_perfil,ativo
1,3,2,345.760.912-80,MAT20250001,2020-12-08,https://dummyimage.com/969x97,1
2,11,1,893.601.547-84,MAT20250002,2024-07-09,https://placekitten.com/209/232,0
3,15,2,106.379.258-40,MAT20250003,2024-01-08,https://picsum.photos/870/636,1
4,16,2,294.613.857-73,MAT20250004,2021-08-11,https://placekitten.com/589/780,0
5,21,2,019.576.328-95,MAT20250005,2021-11-10,https://picsum.photos/368/745,1
6,25,2,408.517.926-85,MAT20250006,2021-09-04,https://dummyimage.com/203x647,0
7,27,2,128.504.639-06,MAT20250007,2023-03-26,https://placekitten.com/492/1021,1
8,34,2,365.807.491-48,MAT20250008,2022-10-11,https://dummyimage.com/527x907,0
9,39,1,328.965.140-15,MAT20250009,2020-08-04,https://placekitten.com/364/578,1
10,43,1,025.679.831-12,MAT20250010,2021-05-18,https://dummyimage.com/288x698,0
11,52,1,980.736.521-02,MAT20250011,2021-07-30,https://picsum.photos/1013/541,0
12,54,2,897.103.654-01,MAT20250012,2022-10-22,https://placekitten.com/318/296,1
13,56,1,534.018.267-35,MAT20250013,2024-04-09,https://picsum.photos/696/617,0
14,59,2,837.901.642-40,MAT20250014,2024-05-10,https://dummyimage.com/802x511,1
15,60,1,615.379.248-00,MAT20250015,2021-07-16,https://dummyimage.com/290x982,1
16,68,2,809.653.217-03,MAT20250016,2022-06-11,https://placekitten.com/788/108,1
17,74,2,386.217.450-62,MAT20250017,2021-05-25,https://dummyimage.com/607x332,1
18,85,1,536.017.294-07,MAT20250018,2024-11-01,https://picsum.photos/118/539,0
19,99,1,382.540.196-06,MAT20250019,2024-12-19,https://placekitten.com/165/741,0
20,100,1,846.597.102-11,MAT20250020,2021-06-19,https://dummyimage.com/80x760,0
21,101,1,395.124.608-15,MAT20250021,2024-05-04,https://placekitten.com/580/668,0
22,102,1,215.038.697-68,MAT20250022,2024-01-15,https://picsum.photos/20/459,0
23,108,1,287.495.306-74,MAT20250023,2025-01-24,https://placekitten.com/550/79,1
24,114,1,465.178.392-91,MAT20250024,2022-02-02,https://dummyimage.com/691x277,1
25,119,1,781.023.649-04,MAT20250025,2024-03-24,https://picsum.photos/747/936,1
26,134,1,107.823.596-12,MAT20250026,2021-09-07,https://placekitten.com/588/507,1
27,139,2,869.734.510-39,MAT20250027,2021-08-18,https://dummyimage.com/176x936,0
28,141,1,834.702.165-17,MAT20250028,2024-07-21,https://dummyimage.com/711x357,1
29,143,1,817.930.465-57,MAT20250029,2024-09-13,https://dummyimage.com/416x635,0
30,145,1,958.420.176-01,MAT20250030,2022-01-04,https://dummyimage.com/890x108,1
31,153,1,092.384.576-38,MAT20250031,2021-05-08,https://dummyimage.com/393x703,1
32,154,1,235.461.897-28,MAT20250032,2024-07-09,https://placekitten.com/865/454,0
33,156,1,308.675.219-02,MAT20250033,2024-10-18,https://dummyimage.com/769x104,0
34,162,1,150.267.843-80,MAT20250034,2022-11-30,https://placekitten.com/867/703,0
35,166,2,081.593.762-86,MAT20250035,2024-04-25,https://dummyimage.com/158x989,1
36,168,2,506.218.497-58,MAT20250036,2022-05-08,https://dummyimage.com/824x756,1
37,172,2,312.674.509-16,MAT20250037,2023-12-02,https://dummyimage.com/262x193,1
38,182,1,672.390.185-12,MAT20250038,2021-11-28,https://dummyimage.com/671x614,1
39,183,1,684.592.713-82,MAT20250039,2025-03-01,https://dummyimage.com/558x396,1
40,184,2,715.928.034-23,MAT20250040,2020-07-31,https://dummyimage.com/210x1009,0
41,196,1,124.786.953-91,MAT20250041,2025-01-26,https://dummyimage.com/941x360,1
42,201,1,524.910.683-89,MAT20250042,2023-09-25,https://picsum.photos/85/591,1
43,202,1,374.091.856-00,MAT20250043,2021-08-14,https://picsum.photos/552/495,0
44,204,1,815.420.637-44,MAT20250044,2023-09-24,https://dummyimage.com/609x737,0
45,205,2,243.907.186-22,MAT20250045,2023-02-09,https://placekitten.com/182/868,1
46,207,2,721.634.980-69,MAT20250046,2025-02-12,https://dummyimage.com/73x277,1
47,208,1,510.378.924-88,MAT20250047,2022-06-29,https://picsum.photos/518/666,0
48,209,2,087.451.392-88,MAT20250048,2024-11-21,https://picsum.photos/994/357,1
49,231,1,285.694.301-24,MAT20250049,2025-04-06,https://placekitten.com/30/144,0
