id,nome_completo,email,senha_hash,tipo,telefone_formatado,ultimo_login,status_usuario
1,Diego Nunes,juan20@example.org,2m75aNH6tiI6b17ueZMuJpv7kxeDlt9Fgk/h8nmBfCi8kMcbIkS+R7fV,Cliente,+55 81 1769 9192,,ativo
2,Bella Nascimento,apollo96@example.org,BEsCsyA4udSZWswAuud9x4dS8ANbXtqGN38KS3OC9R3yW5y3bHrwx4UU,Cliente,+55 84 2892-6581,2025-01-29 06:19:00,ativo
3,Dante Cavalcanti,natalia81@example.com,u7NHGAZTgIMSlTQTPo2K7qMrvZSnQ2ukhvbWK3W3TPhTX8U3V5hfcfVd,Suporte,(071) 6278-8534,2025-02-03 10:37:25,ativo
4,Sophie Garcia,novaisluana@example.com,1rvBY/QEoiT8BynYyy2Qn2nS5w8UPLKAPNUm+MeprIS/xlHFtyVIFXwW,Cliente,+55 (021) 2163-3766,2025-02-18 02:50:36,ativo
5,Dra. Ana Clara Ferreira,onascimento@example.org,A/p8BsA5r8EcKmFtQFYjJIlFJd/OYMXbc1e0y3bnk9U99+WlcYbIHfti,Freelancer,0300-318-9168,2025-03-09 03:29:54,ativo
6,Alice Ferreira,lunalima@example.com,BTBNBG1yrBytjzAd0CYl2exl5zf2OC/v70glLEJS78pKyUb7IDF/ZvEk,Freelancer,+55 (081) 0648-5734,2025-03-12 21:14:42,ativo
7,Sophie Sales,xcorreia@example.org,wqqEHZUqWTfLU2EhaOJg7k0Yft7OnfED4YMaV1i2u39TXxg5EWocPMV3,Cliente,+55 (041) 4305-0435,2025-04-12 17:44:14,ativo
8,Isabel das Neves,thomas69@example.com,xgUW0KB1eSXZI6YEAwRdxfBN2RD4p5YxSwnDW/dwihh59I9H3DccTduB,Cliente,(031) 9848 1962,2025-01-10 18:11:40,Excluído
9,Erick Macedo,barroscaleb@example.org,3VO3EOReyeEfYpWPk79A3NgwxJtLB35f0Cwps9ePjuIgOSK9ZqzH6ZjA,Cliente,61 9127-8875,,Banido
10,Luan da Conceição,xjesus@example.org,LZgYrkrGJ8a0eNVflXUK+P2uVQJv4Xtuod/xAucY1V4wQigod8UIMDni,Cliente,+55 21 6187 0954,2025-04-25 06:58:58,Banido
11,Dr. Lucca da Rosa,allanavasconcelos@example.com,4BCvp9O+Ih1VJWKq3I4MKTD9eikA/wFZLxFP47YpYda5XOzhIxqNCUw4,Administrador,(051) 5551-5721,2025-04-11 06:23:26,ativo
12,Dra. Manuella Garcia,stella53@example.net,rR9ccRfxTHV3ygDWBJYiVchAP4GpKkbjo0KshR4ra1SppfJFnQtprBA4,Freelancer,+55 (041) 3385 8281,2025-03-09 03:03:35,Excluído
13,Henry Gabriel Cardoso,eramos@example.org,WEuQkl1f2/W8GvZyaO7tkqCkRri434eEdG3MPDkn+1/oPTtvK9I/DpXB,Cliente,+55 31 3485-1959,,ativo
14,Léo Azevedo,benjamim89@example.org,oDt0VCvH9SEg/qizXcdywikE7XB8pzJNqqRhCd0KBOUy/XwOP/VpDJPp,Cliente,(051) 7039 3315,2025-04-13 03:20:07,ativo
15,João Felipe da Cruz,dcosta@example.org,c+XkGMIWDYi/1W+N4u+Wzl8kvg7zkz3yjNudzG7BMYC/0VMZ2kvSSKFh,Suporte,51 8321 7843,,Excluído
16,Bernardo Novaes,marcela80@example.com,nBnDa6xKVOYDFh7/vGaGTEYNTUB7ja+C3jK6LKWg1/pTduUyNZaSfyAO,Suporte,61 2378-3055,2025-03-13 19:42:40,ativo
17,Maria Liz Leão,xsa@example.com,JtL2rVuV7zNce/arIbJOYbiJvBkaoOuGh2NIHOJ3U3xTXg/n9uQ+jbbk,Cliente,(081) 7326-6257,2025-01-18 10:15:55,ativo
18,Enzo Gabriel Moura,asales@example.net,5jjfKSm56eyrlwa7B6IbQdVQB5CdXMdhho5N7JPhlitSU8w0+zI1/MOC,Cliente,+55 11 2390 7854,2025-01-08 00:55:38,ativo
19,Clara Sá,vinicius98@example.com,ps4ohX19vLQrzYgg45lV6a1k13UgtEdL5B02QEL4rlsKGge/aIs5X1yK,Freelancer,+55 51 8424 4290,2025-01-07 12:41:56,Banido
20,Emanuelly Brito,noahda-paz@example.com,sU3wI14W0XTc7z9i+RaYOgLdBe7pZacUj6ojpR/JkeQr7/WZ0qu4T7kQ,Cliente,71 8492 3616,2025-01-09 05:51:20,ativo
21,Gabriel Alves,vvasconcelos@example.net,HQLn2PJnF17SiIuOUJLeRuJYxAScadHOCNGx/zL9oVhiiP0OpZ1F4UDl,Suporte,+55 31 0617 5768,2025-04-14 07:01:38,ativo
22,Otto Farias,isaacfreitas@example.net,9Zg5sQ2JlY/SlhrX2R98/ni8KWy1YR3xy8JoITGJC4IHyJtSf5TI9wwJ,Freelancer,+55 21 6291-7833,,ativo
23,Benjamim Farias,maysa65@example.net,K3MVpUI9KJvN79Fah9tivjTdyQy9qKieBx7bpUg5qBk0BDq/bk61tfx0,Cliente,+55 81 1839 5608,2025-03-05 11:28:02,ativo
24,Maria Eduarda Rocha,vnovaes@example.org,C4V/QRHyvB9KB/9nNCJVjTpu13lO3XZzhnY/tK3hGEJ2HEUZCaCS0eFH,Freelancer,11 5874 2681,2025-02-18 09:34:46,ativo
25,Noah Cavalcanti,ravi62@example.com,aoPbmPMsG4btr0L6EhvTxV28JoqDGdvej/tUlnmvsh/QeMgnh5yJgfIg,Suporte,(061) 2792-8151,2025-03-03 14:31:47,ativo
26,Dr. Cauê das Neves,qoliveira@example.org,enAGD+aJpGmOSMvMkSUy7tbmV0QJ1dLhE9Lv2OhBlQhWse7AgbIXnK33,Cliente,81 4478-1582,2025-03-20 01:08:59,ativo
27,Nicolas Montenegro,freitasvitoria@example.com,StEwjb/XEEI4ZD45UpYfdWbFsk+E8FGrQ14ga/6IbP9kl2a4vV5gYA7C,Suporte,81 0568-3719,2025-03-20 15:26:01,ativo
28,Raul Ramos,caroline34@example.com,lF235J19tGKmuuCB4jUmYAv1MYd9pSzLWKIEgqTWTu79c3MGneqL82iA,Cliente,+55 (031) 7238 5292,,ativo
29,Bianca Dias,icorreia@example.net,MRQFMsD4KhxJYkpmmXEJ9G/eU5CkpQ3thql1+JoqJvKUHBB8zDomaUg1,Cliente,(051) 7269 2355,2025-03-07 11:20:09,ativo
30,Maria Fernanda Cavalcanti,apollo93@example.com,yla8F3uIgNBHjR7C+KNCh5XXYdl5ehvILafrXt0S9lnXIzWVdkUj2IoY,Freelancer,+55 (061) 4648-8268,2025-03-21 05:50:06,ativo
31,Luara Albuquerque,costalais@example.com,KU8S5c9S0VCjsdrP1RW67aH1KtcdkgiOgbAr2+0MXqGWEcZbE9XE9hJ1,Cliente,+55 (084) 2977-2726,,ativo
32,Apollo da Mata,meloallana@example.net,u47/8jGqaHHzE6sYlXwlRSB4y3DSCHFaKGSYdxLZUWtQiUyYtHPOpi4K,Freelancer,0500-757-3475,2025-01-14 08:01:38,ativo
33,Maria Luísa Machado,riosvinicius@example.org,llesfBab2p+H1gJgpstunLIc7eCFvZuhSPrz+f5WR2QJsNcj9cQXyNwy,Freelancer,(031) 2335 8260,2025-01-18 12:22:28,Banido
34,Pedro Miguel Peixoto,heitor55@example.org,Jp30Xrnujbo/gjGEWYx+/tYh4yh9qNRgHyLR991SFjEF2rnq4W5F3Zn+,Suporte,31 7411 6035,2025-02-28 10:28:52,ativo
35,Noah Nascimento,sousaisaac@example.com,skzgWoEN1Mx87qMJ+RJMMfpZDmvzqxLDwuIfppQvN1GaTca94dgtinNj,Freelancer,(061) 9479 6268,2025-02-01 04:59:18,Banido
36,Davi Lucas Rocha,da-motaeduarda@example.com,meEI7yZPC7J+UrfYUJnGmIGeY/7BsLozUAltX0Pwwjar8+vK4KWeEkcV,Cliente,0800-901-8601,2025-03-17 15:01:16,ativo
37,Ísis Barros,carlos-eduardo76@example.org,HQD9y08ymsxQOBX7dLfoaXPRvb/FWmkjDuOAy9GU/H+ZWZzSSjhq8ZBN,Cliente,11 4742-5372,2025-05-01 16:10:42,ativo
38,Hellena da Rosa,ycorreia@example.net,4VIE+6BHl7nP6MBXkKbgx6HV5KqaR1EWP36J2TmJnzrxnIQNisgzo7lH,Cliente,+55 31 3695-9052,2025-02-21 11:32:18,ativo
39,Alícia Barros,kfernandes@example.com,vFiCuF811CFdV7DpHmEVi3fM0Xbd+uodDfGPw30kvn2kBYbS5z7CFQaz,Administrador,51 6479 1835,2025-04-22 00:17:46,ativo
40,Dr. Nicolas Fonseca,emanuella21@example.org,fsqzo8ogrNVY0Go9UQ/E5mfYEXEyGkV7hLPMGoV5lIRlzOaNUS4axroO,Freelancer,61 4729 4664,2025-01-04 08:20:47,Banido
41,Mateus Borges,jose-pedroalves@example.com,tjEiSCu/NWOgGlZlmiN+julvTT8f5sHO9PLwxS5+JZseGyi2H2zZ232y,Freelancer,+55 61 4666 2556,2025-04-06 03:58:05,ativo
42,Theodoro Costa,jnovais@example.com,5GTdB/fZfZCdRBJH9TJcsupv0sZ2jQDm6xUt/Og3RAayHzMYn6Jdp2qX,Freelancer,71 3191-2925,2025-01-05 15:35:01,ativo
43,Anna Liz Correia,andradeluna@example.org,/IQkrBwejrC/au7yHvVzDr24+5SVOnnlfcKspeBMLB22qFhPzsURwwM7,Administrador,+55 (031) 3675-1642,,Excluído
44,Vinicius Ramos,maria-liznovaes@example.org,dTfc83Q+J9yjwzQaEZA0eK8ivIRNAQttJBUwmXM3gSPaJKqMe/zw8jru,Freelancer,+55 84 6420-0492,2025-02-23 14:12:37,ativo
45,Arthur Gabriel Fonseca,mmachado@example.com,OSCnmiQ2f0uB7x/0F9iqCqs8Hx6JYldVz5vcjbQTGfRVQzkcDuOh3zWJ,Cliente,+55 11 0892-0872,,Banido
46,Alexia Azevedo,gomesmaria-vitoria@example.net,mnMkMiJAdEMuCMNpsXNqkK/VlSA3Fz1ni5ISDT0XM4glyiMjS2LwOQzJ,Cliente,0800-514-8284,2025-01-30 20:10:58,ativo
47,João Felipe Viana,inunes@example.net,KzKQQbrKP44443Dus43TK2BNU5ERzAul+1c+6giEHLxSlZCFQD8FqwyN,Cliente,+55 (061) 4156 5132,2025-02-16 22:21:00,Banido
48,Dr. Ryan Nunes,oliverdias@example.net,bwrmH9lYEMlrVJMaDY36PXL9at5FtI1bdZhtdqYuTGtHLvxyM6pU3IPu,Cliente,+55 (084) 5322-7561,2025-01-18 13:20:38,Banido
49,Liam Silva,maria-isiscardoso@example.org,/x8Z93MA9mwrr3b+grizP8SYu7g4fPzsfY82DTKBxjK5fb0+NXPPV/1r,Cliente,+55 71 7087 2886,2025-03-16 15:53:33,ativo
50,Davi Luiz Rezende,luiz-miguelmendonca@example.com,oWh0egNnKfmqcEkSHmN5HmtRn1IwZdq3E0DHhyolNGKPNWQqGCVFCjCm,Cliente,+55 (021) 5967-0742,2025-04-14 22:11:03,Excluído
51,Kamilly Fernandes,emanuellajesus@example.org,Tma8FUb8VYQV8cYEOXh4Ug5qQbIPiYuy6hsSlGg+tvjrEQIMwlKYZ8Q8,Cliente,0500-676-3180,2025-02-28 18:49:55,ativo
52,Natália Oliveira,mirelladias@example.com,3I5EvI7JS0VVq4l/aVTZxDCgzQeHtTd3SKN94bHHN46Q9oZfI2bCt0ox,Administrador,51 8276 5843,2025-02-24 08:05:33,ativo
53,Bento Pacheco,souzamariane@example.net,2YAr0XMaNNUA3hHDKqI879bv4kKiHBgAGuUbZTsYdfivw1XEOoNPCFXg,Freelancer,+55 (061) 6157-2133,2025-04-16 02:26:54,ativo
54,Theodoro Rocha,mateus76@example.com,R1tChXYjQHPiE3KK9P7BgV16dIXcJm0VyMTjDHsbG2g0a0cUR5kChEzp,Suporte,21 2389 8543,2025-02-23 21:48:58,ativo
55,Hellena Melo,henrique85@example.net,OOPsdcoFsa9jQ3sBNSU2vInmMyMfDP6Jo9FFnokFNbMatdH9/Gf+VXFG,Cliente,11 2140 5115,2025-03-08 13:29:10,ativo
56,Dr. Gael Guerra,meloaylla@example.org,kOEUHJCXZPJ5U4PmW4mLUwL7j7yAlO5rGnbGL5JJl40fauAxNopiVmxj,Administrador,+55 (071) 1754-7188,2025-04-24 01:10:09,ativo
57,Bárbara Cunha,fcamargo@example.com,9NSDRRpLqiH+pv0ryQ0KQNr4QUT77LdlN+VhNa0FLVIV8BkmlPA1+uNv,Freelancer,(071) 6057-8703,2025-01-21 00:20:12,Banido
58,João Guilherme da Luz,miguellima@example.org,/wap8glxyJma8fQ5f+bqjVy1joiC+R4GTKT6OrviAFMRuHJ+wTVDOzjV,Freelancer,(061) 6862-0333,2025-04-03 18:01:50,ativo
59,Renan Moreira,allana00@example.org,ceqT0ieqCRgew26p3y5R00JJBeKL9bCwM6oMi+RyioPdb3Mw7Xjw58QC,Suporte,(051) 1436 4050,2025-01-25 15:00:55,ativo
60,Davi Lucas Campos,joao-pedroda-cruz@example.com,IwV8C8+GDq8aHUBQaXO7Ea2td7la9fxOpNUVsv0vdxLhtxDAY0nVIyWg,Administrador,+55 (081) 2117 6625,2025-04-15 16:55:47,ativo
61,Danilo Moraes,juliana09@example.com,AJ9f8PCEhXtYNbM2UCt0PQiiD6e/l+2tEZoTeRoOFy7nGwG1W26po6Y9,Cliente,(084) 6079 0626,2025-01-09 12:00:25,Excluído
62,Augusto Almeida,pastorluiz-fernando@example.com,R9R+lDtvHqsEYlIbVVggl+mIsl1rOWksMgI2Y4p+NQNDuyJ0kwv6q+Ba,Cliente,21 0518 0090,2025-02-16 18:04:04,ativo
