id,id_usuario,id_plano,drescrição,cpf_cnpj,idiomas,foto_perfil
1,4,1,"Vel reiciendis odit explicabo ad. Laborum atque eius quasi ipsa adipisci consequuntur cum. Dolorum illum excepturi sed.
Quod nulla iusto velit deleniti eveniet eligendi veniam. Excepturi culpa recusandae harum tenetur. Quas alias at officia sapiente.
Aut nemo culpa quis maxime est sapiente. Commodi impedit neque maxime itaque incidunt officiis.
Error molestias vel sit.
Reprehenderit perspiciatis quod nostrum officia mollitia corporis. Ut aliquam dolor sed facere harum esse.",210.764.359-80,"['Ucraniano', 'Polonês', 'Inglês', 'Vietnamita', 'Tcheco', 'Indonésio', 'Ucraniano', 'Inglês', 'Hebraico', 'Sueco', 'Inglês', 'Norueguês', 'Romeno', 'Norueguês', 'Chinês']",https://dummyimage.com/48x273
2,5,2,"Corrupti esse esse sint sit rerum. Iusto corrupti maxime veritatis nihil.
Voluptatem expedita aut sed quos. Ducimus unde aliquid maiores quo sit eius. Eum error sapiente molestias ab quis dicta omnis.
Occaecati sed culpa. Provident repellat explicabo necessitatibus eos accusantium.
Nesciunt ratione sapiente architecto exercitationem. Placeat vel repellat quis voluptatem quaerat. Dolor sit non velit. Veritatis aspernatur nulla odit nemo saepe id.",956.073.412-16,"['Tailandês', 'Indonésio', 'Turco', 'Grego', 'Sueco', 'Japonês', 'Inglês', 'Italiano', 'Hebraico']",https://dummyimage.com/373x878
3,6,3,"Id quos modi. Rerum deserunt blanditiis enim laborum.
Voluptatum cupiditate pariatur reiciendis fugit. Repudiandae in cumque eius possimus. Similique minus commodi cum corrupti.
Eos nesciunt ullam corporis. Labore eum aspernatur inventore. Assumenda neque voluptates provident.
Minima perspiciatis dolorem. Voluptates mollitia maiores molestias inventore ut quasi. Blanditiis modi accusamus asperiores natus minima.",91.438.672/0001-39,"['Russo', 'Holandês', 'Indonésio', 'Polonês', 'Tailandês', 'Polonês', 'Tailandês', 'Inglês']",https://placekitten.com/686/585
4,10,3,"Atque tenetur eveniet quam. Quidem error assumenda aspernatur eos vitae. Atque incidunt omnis repellendus.
Ullam possimus doloribus blanditiis porro laudantium eligendi. Cum sequi enim occaecati excepturi tenetur soluta. Eveniet necessitatibus natus quaerat expedita amet ducimus ducimus. Optio aperiam nihil fuga laborum perspiciatis.
Neque aperiam magnam facilis quaerat aspernatur. Ducimus velit natus. Quas sit sapiente velit dicta sint iure.",47.298.031/0001-34,"['Inglês', 'Hindi', 'Chinês', 'Espanhol']",https://dummyimage.com/279x580
5,16,2,"Ad reiciendis possimus soluta exercitationem inventore voluptatem odit. Suscipit ullam autem perspiciatis quidem unde esse quasi.
Cupiditate aspernatur voluptatum nisi corrupti eligendi. Accusamus animi impedit. Ipsum laboriosam consectetur ad.
Rerum doloribus earum minus assumenda iusto quas perspiciatis. Eaque fugit ipsum cupiditate. Facere corporis aliquid est voluptatibus cupiditate ipsam.",47.829.156/0001-43,"['Inglês', 'Norueguês', 'Turco', 'Ucraniano', 'Romeno', 'Tailandês', 'Coreano', 'Italiano', 'Português', 'Tcheco', 'Alemão', 'Hindi', 'Coreano', 'Tailandês', 'Hebraico', 'Coreano']",https://picsum.photos/807/684
6,18,3,"Laboriosam quidem hic quas eaque. Error laudantium error deserunt minus quaerat.
Quos itaque voluptatum fugiat laboriosam doloribus. Ab corrupti reiciendis ratione fugiat omnis autem.
Dolorum odio amet quod consectetur maiores.
Maxime inventore eum provident ipsam perferendis.
Nesciunt labore laboriosam debitis voluptatum delectus. Saepe repudiandae similique quos velit corrupti at. Ad ipsa consequatur commodi voluptatibus consequuntur. Eum enim fuga tempora.",037.264.895-92,['Romeno'],https://dummyimage.com/24x599
7,19,3,"Est quisquam omnis quae voluptatum architecto. Cum quaerat error eligendi maxime.
Atque nobis alias nihil. Ipsum voluptate dolores harum consequuntur. Provident quasi voluptate eaque architecto cupiditate vero.
Perferendis deserunt iste libero sed repudiandae. Similique mollitia nesciunt voluptatum dolore consequatur numquam.
Laborum at sit dolores a odit iste voluptas. Fugit esse libero voluptatem.",723.819.054-05,"['Holandês', 'Indonésio', 'Espanhol', 'Português', 'Ucraniano', 'Indonésio', 'Tailandês']",https://placekitten.com/461/895
8,20,2,"Eaque repudiandae enim exercitationem libero recusandae illum. Mollitia labore excepturi.
Modi cumque quibusdam. Provident nihil illo delectus dolor. Illum consectetur animi maxime. In est neque sed voluptatibus alias tempore.
Illum saepe earum ab illum similique. Laborum aliquid labore hic rerum.
Tenetur vero velit facilis minus veritatis beatae. Iure facere quisquam quibusdam. Incidunt officiis voluptatum ratione possimus perspiciatis at vero.",450.697.132-99,"['Francês', 'Árabe', 'Holandês', 'Indonésio', 'Romeno', 'Tcheco', 'Turco', 'Italiano', 'Grego']",https://dummyimage.com/197x240
9,24,3,"Possimus doloremque libero aliquam nihil voluptate. Est at consectetur.
Unde blanditiis molestiae deleniti quasi deserunt quo. Corporis laborum ex explicabo. Ex autem atque nobis eaque.
Atque officiis expedita nemo. Laudantium facilis soluta architecto debitis. Vel tempore magnam ab occaecati debitis. Expedita quisquam sunt.
Repudiandae vitae asperiores nemo. Mollitia sint distinctio facilis illum repellendus veritatis.",245.698.310-60,"['Polonês', 'Hebraico', 'Ucraniano', 'Sueco']",https://dummyimage.com/474x669
10,36,2,"Blanditiis neque laudantium qui animi. Aut mollitia vel ut voluptates iste. Officiis praesentium aliquid fugit saepe ipsam. Ipsa nobis accusamus nam ipsam odit quisquam.
Totam facilis at alias maxime laborum. Quo aspernatur suscipit corrupti minima quia quisquam.
Cum quo illum odit recusandae sapiente. Aut minima animi porro blanditiis voluptas amet.
Dignissimos nesciunt magni repellendus voluptates eos. Minus repellendus ullam impedit quo doloribus animi.",78.034.291/0001-26,"['Grego', 'Romeno', 'Alemão']",https://placekitten.com/711/743
